0.01814338553438 432.052187543251  27.516876948641
0.0365121598440625 435.081246444004  26.9094551225
0.0594123736254884 437.925435426621  23.350634987151
0.0850697959895729 444.149040340496  21.407322927807
0.111496576878358 442.091937616323  17.126865554873
0.136645258944962 436.371420383638  19.80480782459
0.158567407604092 442.942863852676  22.213320542366
0.17556456913486 443.13873518824  26.012500497948
0.18631986111414 447.985169104862  20.741153318978
0.19 447.419772121614  22.329896853457
