#Energy (nJ)	Av Spot (um)	xyspot difference (um)
3.08564967570478	528.141558550843	64.917721028848
3.93140197247645	541.37627534687	37.8747850302669
4.83688103937536	579.155884634499	55.65643854359
5.78446275633149	588.26316454023	66.8799994385701
6.75570352308249	599.851220997644	65.8505256071189
7.73169924287358	609.932675949585	55.040390967196
8.69345326919768	631.95006988963	58.083809152871
9.62224615391138	643.242321609536	51.650477173499
10.5	643.500491716056	53.112694232765
11.3096303272796	651.381647989175	45.868113218089
12.0353786023706	664.442478607201	60.773633330081
12.6631189606246	673.255953396028	55.673787432415
13.1806331500125	684.089813214133	55.616431661559
13.5778483455014	685.531370917436	56.269331046974
13.8470332051366	691.055502652505	46.792413009523
13.9829483518188	698.761647523588	59.2317362148
